title_zh,title_en,release_year,listed_in_zh_en,description,rating,duration_min,genre_list
崛起：這一天,Rise: Ini Kalilah,2018,"劇情片 (Drama), International Movies",受馬來西亞第14屆大選的啓發，這部影集追蹤了六個人物在歷史性事件前夕所面臨的困難。,TV-PG,101.0,"['Dramas', 'International Movies']"
驚聲尖叫,Scream,2019,"懸疑片 (Suspense), 恐怖片 (Horror), TV Mysteries",在這部經典恐怖系列的新電視劇續集中，Lakewood的一起網路霸凌事件引發了一起與過去相似且令人不安的謀殺案。,TV-MA,3.0,"['Crime TV Shows', 'TV Horror', 'TV Mysteries']"
神秘家族,Shtisel,2021,"國際影集 (International TV), 劇情片 (Drama)",一個住在耶路撒冷超正統猶太社區的哈雷迪家庭，正面對愛情、失去和日常生活的低潮。,TV-14,3.0,"['International TV Shows', 'TV Dramas']"
思道爾電影2,Si Doel the Movie 2,2019,"劇情片 (Drama), International Movies",當莎拉和她的孩子打算在雅加達安定下來時，Zaenab尋找答案，在捍衛她和Doel的婚姻之間陷入兩難。,TV-G,95.0,"['Dramas', 'International Movies']"
組裝玩具大作戰,Some Assembly Required,2015,"Kids' TV, 喜劇片 (Comedy)",一個14歲的少年接管了一家玩具公司，並聘請一群朋友幫助他創造令人驚嘆的新玩具。,TV-Y,2.0,"[""Kids' TV"", 'TV Comedies']"
光影之旅,Tales by Light,2018,"訪談式紀錄劇集 (Docuseries), 國際影集 (International TV), Science & Nature TV",跟隨著著名攝影師，探索偏遠的地方，捕捉呈現自然和文化新視角的非凡影像。,TV-14,3.0,"['Docuseries', 'International TV Shows', 'Science & Nature TV']"
搬進新屋：開門見山,Terrace House: Opening New Doors,2018,"國際影集 (International TV), 實境秀 (Reality TV)",一群年輕人─包括一位廚師、一位滑雪運動員和一位冰球選手─在輕井澤森林中聚集，追求他們的夢想。,TV-14,6.0,"['International TV Shows', 'Reality TV']"
為[絕命留言],The A List,2021,"英國影集 (British TV), 國際影集 (International TV), 劇情片 (Drama)",浪漫、競爭和激烈的神秘事件在一群青少年參加偏遠島嶼夏令營時展開，這是一部懸疑、超自然的戲劇作品。,TV-PG,2.0,"['British TV Shows', 'International TV Shows', 'TV Dramas']"
美猴王再世記,The New Legends of Monkey,2020,"Kids' TV, 動作片 (Action), 奇幻片 (Fantasy)",一位勇敢的女孩解放了孤獨被困在石頭裡的齊天大聖，為了尋找七部神聖的經文，拯救世界免於邪惡。,TV-PG,2.0,"[""Kids' TV"", 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']"
魔法學院霍格沃茲,The Worst Witch,2020,"英國影集 (British TV), Kids' TV",在一所女巫學校裡絆倒後，一個笨拙的女主角意識到她可能屬於那裡。根據Jill Murphy深受喜愛的書籍改編而成。,TV-G,4.0,"['British TV Shows', ""Kids' TV""]"
貨車的夢想,Truckbhar Swapna,2018,"喜劇片 (Comedy), 劇情片 (Drama), International Movies",住在孟买贫民窟的出租车司机试图在与一个好色的承包商打交道的过程中，通过扩建家中的面积来改善家人的生活。,TV-14,128.0,"['Comedies', 'Dramas', 'International Movies']"
烏加拉,Ujala,1959,"劇情片 (Drama), International Movies",一個誠實的人夢想為家人帶來更美好的生活，但一個童年朋友卻引領他進入犯罪的世界，讓幸福總是遙不可及。,TV-14,143.0,"['Dramas', 'International Movies']"
臥底使者,Undercover,2020,"懸疑片 (Suspense), 國際影集 (International TV), 動作片 (Action)",臥底探員假扮成一對夫妻，潛入毒梟的行動中，並在他週末常去的露營地暗中監視。劇情靈感來自真實事件。,TV-MA,2.0,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
超辛苦媽媽們,Workin' Moms,2021,"國際影集 (International TV), 喜劇片 (Comedy)",產假結束了，這四位媽媽要回到工作崗位上，同時在多倫多現代生活中應對孩子、老闆、愛情和生活。,TV-MA,5.0,"['International TV Shows', 'TV Comedies']"
悠悠小隊來啦,YooHoo to the Rescue,2020,"Kids' TV, Korean TV Shows",在一系列的魔法任務中，聰明敏捷的YooHoo和他的團隊穿越全球，幫助有需要的動物。,TV-Y,3.0,"[""Kids' TV"", 'Korean TV Shows']"
你是我的春天,You Are My Spring,2021,"國際影集 (International TV), 愛情片 (Romance), 劇情片 (Drama)",一名飯店禮賓和一位童年經歷創傷的心理醫生，在捲入一起複雜的當地命案後建立了深厚的情感聯繫。,TV-14,1.0,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
我們，人民,We the People,2021,Kids' TV,學習權利和公民身份的基本知識，並透過知名歌手如Janelle Monáe、H.E.R.、Adam Lambert、Brandi Carlile等人的歡快歌曲來學習。,TV-Y7,1.0,"[""Kids' TV""]"
醫人當自強,Grey's Anatomy,2020,"愛情片 (Romance), 劇情片 (Drama)",在西雅圖一家醫院裡，實習生（後來成為住院醫師）梅瑞迪斯·格雷發現自己被捲入與其他醫生的個人和專業熱情中。,TV-14,17.0,"['Romantic TV Shows', 'TV Dramas']"
巨木風雲,Big Timber,2020,"國際影集 (International TV), 實境秀 (Reality TV)",一名專業的木材伐木工和他忠心耿耿的團隊在溫哥華島上與惡劣天氣和機器故障作鬥爭，努力砍伐和運送寶貴的木材。,TV-14,1.0,"['International TV Shows', 'Reality TV']"
陰陽街第一部分：1994,Fear Street Part 1: 1994,2021,"恐怖片 (Horror), LGBTQ Movies",一連串殘酷的謀殺之後，一名青少年和她的朋友們開始對抗一股困擾他們惡名昭著小鎮數世紀的邪惡力量。歡迎來到沙迪賽德。,R,107.0,"['Horror Movies', 'LGBTQ Movies']"
迷人的心臟,Haseen Dillruba,2021,"International Movies, 愛情片 (Romance), 驚悚片 (Thriller)",在被調查為丈夫謀殺嫌疑犯的情況下，一位妻子透露了他們崎嶇婚姻的細節，似乎只會進一步混淆事實的真相。,TV-MA,136.0,"['International Movies', 'Romantic Movies', 'Thrillers']"
火星度假,Holiday on Mars,2020,"喜劇片 (Comedy), International Movies",一名惡棍試圖逃離家人，在火星上重新結婚的任務，卻因為一個與黑洞的意外，將他的兒子變成一個老人，情況變得非常滑稽。,TV-MA,94.0,"['Comedies', 'International Movies']"
凡人神秘,Mortel,2019,"懸疑片 (Suspense), 國際影集 (International TV), 劇情片 (Drama)",在與一個超自然的角色做交易之後，兩名高中生獲得了非凡的能力，並聯手解決一起凶殺案。,TV-MA,2.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
響尾蛇：阿漢娜的故事,RattleSnake - The Ahanna Story,2020,"劇情片 (Drama), International Movies, 驚悚片 (Thriller)",在這部時尚的翻拍影集中，一個幻滅的策劃者組建了一個團隊來進行一系列壯觀的劫案，但他的犯罪行為造成了太多的敵人。,TV-MA,136.0,"['Dramas', 'International Movies', 'Thrillers']"
雪國列車,Snowpiercer,2013,"動作片 (Action), Cult Movies, International Movies",地球上剩下的居民被限制在一輛環繞地球的火車上，階級分化的火車車廂中正在醞釀革命。,R,126.0,"['Action & Adventure', 'Cult Movies', 'International Movies']"
第八夜,The 8th Night,2021,"恐怖片 (Horror), International Movies, 驚悚片 (Thriller)",手持念珠和斧頭，一位僧侶追捕一個擁有千年靈魂的惡靈，該靈魂附身於人類身上，在地球上肆虐。,TV-14,116.0,"['Horror Movies', 'International Movies', 'Thrillers']"
溫徹斯特籠城,Winchester,2018,"恐怖片 (Horror), 奇幻片 (Fantasy)",一位擁有龐大槍械財富的女繼承人，建造了一座迷宮般的內部結構的豪宅，以驅逐那些被她家族產品殺死的靈魂。,PG-13,100.0,"['Horror Movies', 'Sci-Fi & Fantasy']"
六顆子彈,6 Bullets,2012,動作片 (Action),一名前僱傭兵被誘回危險的工作，尋找失蹤的兒童，因為一名混合武術冠軍的女兒遭到綁架。,R,115.0,['Action & Adventure']
空軍一號,Air Force One,1997,動作片 (Action),恐怖分子劫持了空軍一號，總統和他的家人也在飛機上。總統親自出馬，以他訓練有素的手段解決這個危機。,R,125.0,['Action & Adventure']
聽得見,Audible,2021,"紀錄片 (Documentary), Sports Movies",一位聽障高中足球選手因朋友自殺而震驚，他在應對家庭和人際關係的同時，期待著最後的主場比賽。,PG-13,39.0,"['Documentaries', 'Sports Movies']"
現在發條紳士三部曲：黃金眼,Austin Powers in Goldmember,2002,"動作片 (Action), 喜劇片 (Comedy)",這位世界上最迷人的間諜繼續和邪惡的邪惡博士作戰，他和新的敵人一同行動：1970年代的反派金牌大盜。,PG-13,94.0,"['Action & Adventure', 'Comedies']"
奧斯汀·鮑爾：國際神秘男,Austin Powers: International Man of Mystery,1997,喜劇片 (Comedy),白天是一名時髦的時尚攝影師，晚上則是一名時髦的英國秘密特工的超級間諜奧斯丁·鮑爾必須挫敗邪惡博士的陰謀。,PG-13,90.0,['Comedies']
奧斯汀·巴菲爾：風流間諜再起,Austin Powers: The Spy Who Shagged Me,1999,"動作片 (Action), 喜劇片 (Comedy), 奇幻片 (Fantasy)",邪惡天才博士邪惡博士回到過去，竊取了特工奧斯汀·鮑爾的魅力，奧斯汀必須自己回到繁華的60年代。,PG-13,95.0,"['Action & Adventure', 'Comedies', 'Sci-Fi & Fantasy']"
放蕩年代,Boogie Nights,1997,"喜劇片 (Comedy), 劇情片 (Drama), Independent Movies",一個身材高大的雜役工被一群緊密聯盟的1970年代色情演員收留，並成為了膚淺名人Dirk Diggler。,R,155.0,"['Comedies', 'Dramas', 'Independent Movies']"
魔法事務局,Bureau of Magical Things,2020,"國際影集 (International TV), Kids' TV, TV Mysteries",一位青少年意外發現一個被施了魔法的領域，她成為唯一能夠統一人類和魔法世界的人，並拯救兩者免於邪惡的存在。,TV-G,1.0,"['International TV Shows', ""Kids' TV"", 'TV Mysteries']"
查理的天使,Charlie's Angels,2000,"動作片 (Action), 喜劇片 (Comedy)",一個緊密結合的特訓特工三人組，他們揮舞武器，並以迷人的魅力追踪這個經典電視系列的重啟中被偷的軟體。,PG-13,98.0,"['Action & Adventure', 'Comedies']"
剛果,Congo,1995,"動作片 (Action), 驚悚片 (Thriller)",八名人士，有些懷有不軌企圖，前往剛果進行遠征，他們發現一座被殺人猩猩守護的失落城市。,PG-13,108.0,"['Action & Adventure', 'Thrillers']"
丹尼斯小惡鬼,Dennis the Menace,1993,"Children & Family Movies, 喜劇片 (Comedy)",某部影集的英文簡介為： 喬治生活中的可惡之處是一個叫丹尼斯的小男孩。但當一名狡猾的小偷企圖搶劫喬治時，丹尼斯可能是唯一能阻止他的人。,PG,96.0,"['Children & Family Movies', 'Comedies']"
夢幻的眼眸,Dreamy Eyes,2019,"劇情片 (Drama), International Movies, 愛情片 (Romance)",透過心碎和背叛，Ngan 對他的童年好友 Hà La 的一往情深在這部浪漫愛情故事中持續了一代人的時間。,TV-14,117.0,"['Dramas', 'International Movies', 'Romantic Movies']"
真‧三國無雙,Dynasty Warriors,2021,"動作片 (Action), International Movies",根據暢銷的電子遊戲和《三國演義》，戰鬥領主、勇士和政治家爭奪至高無上的權力。,TV-14,118.0,"['Action & Adventure', 'International Movies']"
56k世代,Generation 56k,2021,"國際影集 (International TV), 愛情片 (Romance), 喜劇片 (Comedy)",一次偶遇讓兩個三十多歲的人回憶起1998年，那是他們青少年荷爾蒙迸發的一年，也是網際網路永遠改變他們生活的一年。,TV-MA,1.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
漢普斯特德,Hampstead,2019,"喜劇片 (Comedy), 劇情片 (Drama), International Movies",一位在倫敦的美國寡婦和一位在美麗公園裡過著與世隔絕生活的男子建立了意想不到的關係。這座公園正好可以進行開發。,PG-13,103.0,"['Comedies', 'Dramas', 'International Movies']"
功夫熊貓,Kung Fu Panda,2008,"Children & Family Movies, 喜劇片 (Comedy)",當一個強大的惡棍來破壞他的山谷和平時，一隻懶惰的熊貓挺身而出，挑戰自己的命運，成為一名功夫戰士。,PG,94.0,"['Children & Family Movies', 'Comedies']"
功夫熊貓2,Kung Fu Panda 2,2011,"Children & Family Movies, 喜劇片 (Comedy)",帶著握緊的拳頭和飽滿的肚子，波向著危險的旅程展開，與五熊貓合力對抗可怕的新敵人，拯救功夫的藝術。,PG,93.0,"['Children & Family Movies', 'Comedies']"
生活點滴,Life as We Know It,2010,"喜劇片 (Comedy), 劇情片 (Drama), 愛情片 (Romance)",霍莉和艾瑞克在他們的第一次約會中發現彼此之間存在著相互仇恨的感覺，但在成為朋友寶寶的監護人後，他們必須把自己的感受放在一邊。,PG-13,115.0,"['Comedies', 'Dramas', 'Romantic Movies']"
瑪利亞·瑪達蓮,Mary Magdalene,2019,"劇情片 (Drama), Faith & Spirituality, International Movies",一位擁有治癒能力的女子放棄了她在村莊的生活，成為基督教創始人耶穌的虔誠信徒。,R,120.0,"['Dramas', 'Faith & Spirituality', 'International Movies']"
馬薩米爾縣,Masameer County,2021,"國際影集 (International TV), 喜劇片 (Comedy)",一部有趣的觀察沙特阿拉伯轉變的影集，本季包含關於全球媒體戰、歷史悠久的部落紛爭和健康熱潮走得太遠的故事。,TV-MA,1.0,"['International TV Shows', 'TV Comedies']"
藝妓回憶錄,Memoirs of a Geisha,2005,"劇情片 (Drama), 愛情片 (Romance)",被賣到一家藝妓屋當小孩時，一個漁夫的女兒成為京都最受追捧的藝妓，但內部競爭威脅到她所渴望的命運。,PG-13,145.0,"['Dramas', 'Romantic Movies']"
午夜狂奔,Midnight Run,1988,"動作片 (Action), Classic Movies, 喜劇片 (Comedy)",一位變成賞金獵人的警察在從紐約到洛杉磯的途中遇到麻煩，因為他正在和一位從黑道騙取了數百萬美元的逃犯會計師競逐。,R,126.0,"['Action & Adventure', 'Classic Movies', 'Comedies']"
機動戰士高達 霍斯薇雅传,Mobile Suit Gundam Hathaway,2021,"動作片 (Action), Anime Features, International Movies",在夏爾的叛亂之後，哈梅威·諾亞率領起義軍反抗地球聯邦，但與一名敵軍軍官和一位神秘女子的相遇改變了他的命運。,TV-14,96.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
真人快打,Mortal Kombat,1995,"動作片 (Action), 奇幻片 (Fantasy)",三名戰士前往神秘的外世界，參加一場與企圖佔領世界的邪惡惡魔對抗的比賽，以測試自己的力量。,PG-13,101.0,"['Action & Adventure', 'Sci-Fi & Fantasy']"
母親節,Mother's Day,2016,"喜劇片 (Comedy), 劇情片 (Drama)",數位既大責各位亞特蘭大媽媽（和個一位無知鰥夫爸爸）讓這部合集喜劇成為難忘的母親節。,PG-13,118.0,"['Comedies', 'Dramas']"
純屬意外,No Strings Attached,2011,"喜劇片 (Comedy), 愛情片 (Romance)",《情人做朋友》艾瑪和亞當對他們的開放關係感到滿意...直到那些討厭的情感介入其中。,R,109.0,"['Comedies', 'Romantic Movies']"
絕不能再是青春電影,Not Another Teen Movie,2001,喜劇片 (Comedy),在約翰休斯高中，一位橄欖球英雄打賭後開始了一場荒唐的模仿，計畫將一位戴眼鏡的藝術家變成舞會皇后。,R,89.0,['Comedies']
奧菲莉亞,Ophelia,2018,"劇情片 (Drama), 愛情片 (Romance)",在這個重新演繹的「哈姆雷特」故事中，故事主角奧菲莉亞的觀點成為了重心，這位侍女與丹麥王子的共同愛情被背叛和瘋狂毀滅了。,PG-13,106.0,"['Dramas', 'Romantic Movies']"
寵物墓園2,Pet Sematary 2,1992,恐怖片 (Horror),柴斯和他的兒子傑夫搬到一個新鎮，傑夫和一個被排斥的人德魯成為朋友，兩人發現了一個奇怪的印地安墓地。,R,101.0,['Horror Movies']
隔離故事,Quarantine Tales,2020,"國際影集 (International TV), 喜劇片 (Comedy), 劇情片 (Drama)",穿梭於各種類型，五個獨立故事以獨特、異想天開和發人深省的方式呈現2020年疫情期間的生活。,TV-MA,1.0,"['International TV Shows', 'TV Comedies', 'TV Dramas']"
彩虹遊俠,Rainbow Rangers,2018,Kids' TV,當地球上的動物和自然奇觀需要拯救時，彩虹小精靈結合他們豐富多彩的力量來保護地球並拯救這一天！,TV-Y,1.0,"[""Kids' TV""]"
紅色琼恩,Red Joan,2019,"劇情片 (Drama), International Movies",當一位平凡的年邁寡婦因叛國罪被逮捕時，她紛亂的秘密過去作為KGB歷史最悠久的英國間諜被揭露。,R,101.0,"['Dramas', 'International Movies']"
美少女戰士Crystal,Sailor Moon Crystal,2016,"Anime Series, Kids' TV",國中生月野兔和她的朋友們得知他們有能力變身成為水手戰士，保護世界免受黑暗力量侵害。,TV-Y7,3.0,"['Anime Series', ""Kids' TV""]"
七生有幸,Seven Pounds,2008,"劇情片 (Drama), 愛情片 (Romance)",被一個黑暗的秘密所困擾，稅務局的特工本·湯瑪斯試圖改善七個需要第二次機會的陌生人的生活。,PG-13,123.0,"['Dramas', 'Romantic Movies']"
她不是我的菜,She's Out of My League,2010,"喜劇片 (Comedy), 愛情片 (Romance)",柯克是一個5分，他的新女友莫莉是一個10分。除了柯克之外，沒有人知道她看上他的原因。他猛烈的不安全感會毀了這段新戀情嗎？,R,106.0,"['Comedies', 'Romantic Movies']"
雪天放假,Snow Day,2000,"Children & Family Movies, 喜劇片 (Comedy)",當一個大雪封鎖了整個城鎮，惠勒家族放鬆了。哈爾向學校裡最受歡迎的女孩發動攻勢，10歲的娜塔莉和可怕的除雪車司機對抗，爸爸和一位競爭對手氣象學家展開對決。,PG,89.0,"['Children & Family Movies', 'Comedies']"
星際迷航,Star Trek,2009,"動作片 (Action), 奇幻片 (Fantasy)",在他們第一次乘坐企業號星艦的航行中，自以為是的叛逆者詹姆斯T.柯克和理性的瓦肯人史波克試圖打敗一名報復心切的羅穆蘭指揮官。,PG-13,128.0,"['Action & Adventure', 'Sci-Fi & Fantasy']"
史都華小老鼠,Stuart Little,1999,"Children & Family Movies, 喜劇片 (Comedy)",當喬治的父母收養了一隻老鼠而不是一個小男孩時，喬治意識到兄弟可以有各種形狀和大小。但貓咪雪貝兒並不那麼友善。,PG,85.0,"['Children & Family Movies', 'Comedies']"
信任之劍,Sword of Trust,2019,"喜劇片 (Comedy), 劇情片 (Drama), Independent Movies",一個與眾不同的四人組通過南部的否認地帶進行了一場瘋狂的旅程，他們要賣一個聲稱證明南方贏得內戰的遺物。,R,89.0,"['Comedies', 'Dramas', 'Independent Movies']"
塔拉迪加之夜：瑞奇·鮑比的傳奇,Talladega Nights: The Ballad of Ricky Bobby,2006,"動作片 (Action), 喜劇片 (Comedy), Sports Movies",《閃電麥坤》的NASCAR超級巨星瑞奇鮑比相信自己是最棒的，直到一位法國一級方程式賽車冠軍的到來威脅到他的頂尖地位。,PG-13,108.0,"['Action & Adventure', 'Comedies', 'Sports Movies']"
美國人,The American,2010,"劇情片 (Drama), 驚悚片 (Thriller)",被派往一個小意大利小鎮等待進一步指示的刺客傑克展開了一個雙重生活，也許比對他好的更輕鬆。,R,105.0,"['Dramas', 'Thrillers']"
宿命情敵,The Best of Enemies,2019,劇情片 (Drama),1971年，在北卡羅來納州的一場學校整合峰會上，一位民權活動人士與一位三K黨領袖對立，引發了一段不太可能的友誼。,PG-13,133.0,['Dramas']
危機密令,The Game,1997,驚悚片 (Thriller),一名高冷的投資銀行家，在他兄弟送他一個奇怪的生日禮物後，開始陷入危險和偏執的境地：有機會參與一個神秘的遊戲。,R,129.0,['Thrillers']
功夫小子,The Karate Kid,1984,"動作片 (Action), Children & Family Movies, Classic Movies",當一個受欺凌的青少年和一位不起眼的武術大師交朋友時，他將學到人生的教訓，以及打敗無情對手的正確招式。,PG,127.0,"['Action & Adventure', 'Children & Family Movies', 'Classic Movies']"
功夫小子續集,The Karate Kid Part II,1986,"動作片 (Action), Children & Family Movies, 劇情片 (Drama)",丹尼爾和他的武術導師宮城先生到沖繩旅行，他們將與一個敵意的新敵人和一個舊敵人尋求解決舊賬的人展開對戰。,PG,113.0,"['Action & Adventure', 'Children & Family Movies', 'Dramas']"
功夫小子III,The Karate Kid Part III,1989,"Children & Family Movies, 劇情片 (Drama)",一個歷來的對手威脅了空手道冠軍丹尼爾和導師宮城先生之間的聯繫，並製定了一個複雜的報復計劃和一個兇猛的挑戰者。,PG,112.0,"['Children & Family Movies', 'Dramas']"
大衛·蓋爾的生活,The Life of David Gale,2003,劇情片 (Drama),一位德州教授和死刑制度反對者被冤枉犯罪，最後自己也被判處死刑。,R,130.0,['Dramas']
騎士們,The Long Riders,1980,動作片 (Action),這部西部影集記錄了19世紀的詹姆斯-楊格幫的不幸遭遇和滅亡，這些歹徒在密蘇里州展開了一連串的犯罪活動。,R,100.0,['Action & Adventure']
女王,The Queen,2006,"劇情片 (Drama), International Movies",戴安娜王妃去世後，伊莉莎白二世女王和托尼·布莱尔面臨公眾要求以超出標準禮節的方式紀念她。,PG-13,103.0,"['Dramas', 'International Movies']"
陌生人,The Strangers,2008,"恐怖片 (Horror), 驚悚片 (Thriller)",一對夫妻在一個偏遠的度假屋度過安靜的假期，卻因為遭到三名戴著面具、神秘而兇殘的入侵者的攻擊而陷入恐懼之中。,R,85.0,"['Horror Movies', 'Thrillers']"
恐懼總和,The Sum of All Fears,2002,動作片 (Action),中情局特工傑克·瑞恩試圖找出三名失蹤的俄羅斯核科學家為何躲藏在烏克蘭，並與新納粹分子交流。,PG-13,124.0,['Action & Adventure']
觀光客,The Tourist,2010,"動作片 (Action), 愛情片 (Romance)",一名美國遊客試圖在心碎的時候尋找安慰，但在遇到一名美麗的國際刑警後，卻再次陷入危險之中。,PG-13,103.0,"['Action & Adventure', 'Romantic Movies']"
地下世界,Underworld,2003,"動作片 (Action), 恐怖片 (Horror), 奇幻片 (Fantasy)",一名吸血鬼戰士開始質疑她在不死族和狼人之間古老戰爭中的使命，當她愛上一個她所保護的人類時。,R,121.0,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy']"
黑夜傳說：覺醒,Underworld: Awakening,2012,"動作片 (Action), 恐怖片 (Horror), 奇幻片 (Fantasy)",在吸血鬼和狼人之間的戰爭持續進行中，塞琳從長期被迫進行的低溫睡眠中甦醒，面對一個可怕的新敵人：人類。,R,89.0,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy']"
地下世界：狼人崛起,Underworld: Rise of the Lycans,2009,"動作片 (Action), 恐怖片 (Horror), 奇幻片 (Fantasy)",設定在1402年，這部前傳追蹤盧西安，第一個能夠變成人形的狼人，並記錄吸血鬼和狼人之間的仇恨。,R,92.0,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy']"
無聲者,Voiceless,2020,"劇情片 (Drama), International Movies, 驚悚片 (Thriller)",一位聰明有前途的年輕女孩被綁架帶到恐怖分子營地，意外地與她的靈魂伴侶相遇。,TV-MA,112.0,"['Dramas', 'International Movies', 'Thrillers']"
美夢成真,What Dreams May Come,1998,"劇情片 (Drama), 愛情片 (Romance), 奇幻片 (Fantasy)",一位醫生在意外後發現自己置身於天堂，身處他妻子的畫作世界，同時努力從地獄拯救她。,PG-13,114.0,"['Dramas', 'Romantic Movies', 'Sci-Fi & Fantasy']"
笨蛋為什麼會墜入愛河,Why Do Fools Fall in Love,1998,"劇情片 (Drama), 音樂歌舞片 (Musical), 愛情片 (Romance)",在這部搖滾搞笑戲劇中，三位女性為了那位他們都愛過並且都嫁過的一曲成名歌手的版稅而上法院。,R,116.0,"['Dramas', 'Music & Musicals', 'Romantic Movies']"
暫定標題,Working Title,2019,劇情片 (Drama),在70年代，一名研究生與曼森家族的三名入獄女性合作，回顧她們的生活。故事取材自真實事件。,R,110.0,['Dramas']
年輕皇室,Young Royals,2021,"國際影集 (International TV), 愛情片 (Romance), 劇情片 (Drama)",威廉王子適應了他的著名新寄宿學校希勒斯卡的生活，但追隨他的內心證明比預期的更具挑戰性。,TV-MA,1.0,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
美國：動畫史詩,America: The Motion Picture,2021,"動作片 (Action), 喜劇片 (Comedy)",一個揮舞電鋸的喬治·華盛頓和愛喝啤酒的好哥們山姆·亞當斯合作，以輕鬆幽默的方式諷刺美國革命，推翻英國統治。,TV-MA,98.0,"['Action & Adventure', 'Comedies']"
癲狂,Deranged,2020,"劇情片 (Drama), International Movies",一名代課教師和一個執著的學生展開了一段不正當的風流，危及所有參與其中的人，模糊了獵食者和獵物之間的界線。,TV-14,98.0,"['Dramas', 'International Movies']"
揮金如土：洛杉磯,Droppin' Cash: Los Angeles,2019,實境秀 (Reality TV),這部複雜的影集追蹤洛杉磯音樂家和運動員的足跡，他們花費大筆金錢追求生活中的精緻事物。,TV-MA,1.0,['Reality TV']
降魔的傳說,Legend of Exorcism,2020,"Anime Series, 懸疑片 (Suspense), 國際影集 (International TV)",離開藥金宮後，孔鴻軍來到長安，與惡魔戰鬥並與驅魔隊隊長李景龍結成了羈絆。,TV-14,1.0,"['Anime Series', 'Crime TV Shows', 'International TV Shows']"
欺騙與偷竊,Lying and Stealing,2019,驚悚片 (Thriller),一位有天賦的小偷和一位有抱負的女演員合作，從洛杉磯的大富豪手中偷取藝術品。在他們最後一次偷竊中，他們的目標是最終：自由。,R,100.0,['Thrillers']
媽媽問題,Mommy Issues,2021,"喜劇片 (Comedy), 劇情片 (Drama), International Movies",密不透風的空間和新的戀情給一位性情急躁的年輕女子和她要求嚴格的母親之間本來就不穩定的關係增添了麻煩。,TV-MA,90.0,"['Comedies', 'Dramas', 'International Movies']"
黃金時段,Prime Time,2021,"劇情片 (Drama), International Movies, 驚悚片 (Thriller)",1999年除夕夜，一名持槍武裝的男子闖入一個電視工作室，在一次直播節目中，劫持了主持人，並提出一個要求：要在直播中發表一則訊息。,TV-MA,92.0,"['Dramas', 'International Movies', 'Thrillers']"
我們。,Somos.,2021,"懸疑片 (Suspense), 國際影集 (International TV), Spanish-Language TV Shows",墨西哥邊境小鎮阿連德的居民生活被一個強大的卡特爾組織的運作所左右，最終導致悲劇發生。靈感來自真實事件。,TV-MA,1.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']"
蘇菲：西科克的謀殺案,Sophie: A Murder in West Cork,2021,"英國影集 (British TV), 懸疑片 (Suspense), 訪談式紀錄劇集 (Docuseries)",一宗令人震驚的謀殺案在愛爾蘭鄉村引發了一場日益錯綜複雜的正義追求，跨越數十年並橫跨多個國家邊境。,TV-MA,1.0,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
<<修仙奇偶錄>>,The Daily Life of the Immortal King,2020,"Anime Series, 國際影集 (International TV), Teen TV Shows",在六歲時擊敗了一名強大的惡魔後，早熟的魔法師王凌現在必須在高中生活中扮演一個普通的青少年。,TV-14,1.0,"['Anime Series', 'International TV Shows', 'Teen TV Shows']"
超能小星星,StarBeam,2021,Kids' TV,當五顔六色的壞蛋現身時，8歲的Zoey有能力變身成為StarBeam，一位小小超級英雄。她每天都拯救世界！,TV-Y,4.0,"[""Kids' TV""]"
一條回家的路,A Way Back Home,2020,"劇情片 (Drama), International Movies",在得知末期診斷後，一名男子假裝發生意外來避免家人的悲傷，並必須處理他欺騙所帶來的後果。,TV-14,82.0,"['Dramas', 'International Movies']"
以柔殺人,Killing Them Softly,2012,劇情片 (Drama),當一對低級小偷搶劫一場受黑幫保護的撲克遊戲時，一名狡猾的執行者被聘請來追踪罪犯並處理此事。,R,97.0,['Dramas']
七大罪,The Seven Deadly Sins,2021,"Anime Series, 國際影集 (International TV)",當一個王國被暴君奪取時，被廢黜的公主開始尋找一群已解散的邪惡騎士，幫助她收回她的王國。,TV-14,5.0,"['Anime Series', 'International TV Shows']"
通緝,Wanted,2019,"喜劇片 (Comedy), International Movies",四位老人突破護理之家的限制，展開了一系列冒險，試圖阻止房地產開發商拆毀摯愛親人的墳墓。,TV-14,90.0,"['Comedies', 'International Movies']"
逆風而行,Into the Wind,2018,"劇情片 (Drama), Independent Movies, International Movies",兩兄妹在愛琴海上以遊艇船員的身分出航。情況很快就改變了，因為一位年輕的紀錄片製作人登上了船。,TV-MA,76.0,"['Dramas', 'Independent Movies', 'International Movies']"
